time,force,tip,base
0.0,0.0,2e-09,2e-09
0.0005,-5.173569257851688e-11,9.748555064809997e-10,1.0000000000003413e-09
0.001,-1.1523879263849211e-09,-6.769261782511128e-10,1.1386121252497614e-21
0.0015,-1.15602237069223e-09,-1.5726701403436111e-09,-9.99999999998064e-10
0.002,-1.1245486637342234e-09,-2.5624099769713005e-09,-1.999999999997723e-09
0.0025,-1.0979170399141338e-09,-3.548889845733916e-09,-3.0000000000063014e-09
0.003,-1.071805385705465e-09,-4.53581938277898e-09,-4.000000000009199e-09
0.0035,-1.0458047762900063e-09,-5.5228186245613955e-09,-4.999999999997098e-09
0.004,-1.0196703053720186e-09,-6.5097513874606825e-09,-5.999999999984997e-09
0.0045000000000000005,-9.932623304709391e-10,-7.496547413682738e-09,-6.9999999999728964e-09
0.005,-9.664991718874044e-10,-8.483165851101862e-09,-7.999999999960795e-09
0.0055000000000000005,-9.393316269123355e-10,-9.469582096768128e-09,-8.999999999948694e-09
0.006,-9.117297861436606e-10,-1.0455781195408495e-08,-9.999999999936594e-09
0.006500000000000001,-8.836757425511187e-10,-1.1441754193141765e-08,-1.0999999999924493e-08
0.007,-8.551593162895989e-10,-1.2427495999804385e-08,-1.1999999999912392e-08
0.007500000000000001,-8.261754298824817e-10,-1.341300407649713e-08,-1.299999999990029e-08
0.008,-7.967224363382507e-10,-1.4398277599614617e-08,-1.399999999988819e-08
0.0085,-7.668010220904278e-10,-1.538331691229891e-08,-1.499999999987609e-08
0.009000000000000001,-7.364134694570415e-10,-1.6368123155657747e-08,-1.599999999986399e-08
0.0095,-7.055631508797409e-10,-1.7352698015877156e-08,-1.699999999985189e-08
0.01,-6.742541764796305e-10,-1.8337043547994624e-08,-1.7999999999839787e-08
0.0105,-6.424911452762996e-10,-1.9321162051504867e-08,-1.8999999999827686e-08
0.011000000000000001,-6.102789678263638e-10,-2.0305055981677036e-08,-1.9999999999815585e-08
0.0115,-5.776227388706903e-10,-2.1288727885876848e-08,-2.0999999999803484e-08
0.012,-5.445276454888456e-10,-2.2272180357642027e-08,-2.1999999999791384e-08
0.0125,-5.109989007628384e-10,-2.3255416003514498e-08,-2.2999999999779283e-08
0.013000000000000001,-4.770416959603995e-10,-2.4238437419129953e-08,-2.399999999976718e-08
0.0135,-4.426611662697546e-10,-2.522124717208549e-08,-2.499999999975508e-08
0.014,-4.0786236652489284e-10,-2.6203847789802122e-08,-2.599999999974298e-08
0.0145,-3.726502543340174e-10,-2.7186241751088966e-08,-2.699999999973088e-08
0.015000000000000001,-3.3702967871750376e-10,-2.816843148046052e-08,-2.7999999999718778e-08
0.0155,-3.010053728486351e-10,-2.91504193445085e-08,-2.8999999999706677e-08
0.016,-2.645819498601673e-10,-3.0132207649804586e-08,-2.9999999999694576e-08
0.0165,-2.2776390093288421e-10,-3.111379864194433e-08,-3.0999999999682475e-08
0.017,-1.9055559507680696e-10,-3.2095194505438125e-08,-3.1999999999670374e-08
0.0175,-1.5296128016167718e-10,-3.307639736422565e-08,-3.299999999965827e-08
0.018000000000000002,-1.1498508485606102e-10,-3.4057409282646053e-08,-3.399999999964617e-08
0.0185,-7.663102121847837e-11,-3.5038232266733925e-08,-3.499999999963407e-08
0.019,-3.7902987747686376e-11,-3.6018868265742834e-08,-3.599999999962197e-08
0.0195,1.1952272652881677e-12,-3.6999319173823104e-08,-3.699999999960987e-08
0.02,4.065994218932693e-11,-3.797958683179492e-08,-3.799999999959777e-08
0.0205,8.04875784006994e-11,-3.895967302897406e-08,-3.899999999958567e-08
0.021,1.2067465659262265e-10,-3.9939579505018454e-08,-3.9999999999573566e-08
0.021500000000000002,1.6121779309078855e-10,-4.091930795176865e-08,-4.0999999999561465e-08
0.022000000000000002,2.021136962200077e-10,-4.189886001506657e-08,-4.1999999999549364e-08
0.0225,2.433591627396088e-10,-4.2878237296536184e-08,-4.299999999953726e-08
0.023,2.849510743726841e-10,-4.3857441355318184e-08,-4.399999999952516e-08
0.0235,3.268863944481854e-10,-4.483647370975312e-08,-4.499999999951306e-08
0.024,3.691621646456586e-10,-4.5815335839003546e-08,-4.599999999950096e-08
0.0245,4.11775501873774e-10,-4.67940291846189e-08,-4.699999999948886e-08
0.025,4.547235952631529e-10,-4.777255515203619e-08,-4.799999999947676e-08
0.025500000000000002,4.980037032904272e-10,-4.87509151120201e-08,-4.899999999946466e-08
0.026000000000000002,5.416131510225937e-10,-4.972911040204038e-08,-4.9999999999452556e-08
0.0265,5.855493274819454e-10,-5.070714232758795e-08,-5.0999999999440455e-08
0.027,6.298096831341259e-10,-5.168501216343274e-08,-5.1999999999428354e-08
0.0275,6.743917274878083e-10,-5.26627211548226e-08,-5.2999999999416253e-08
0.028,7.192930268088209e-10,-5.364027051862738e-08,-5.399999999940415e-08
0.0285,7.645112019389437e-10,-5.461766144442825e-08,-5.499999999939205e-08
0.029,8.100439262202209e-10,-5.55948950955563e-08,-5.599999999937995e-08
0.029500000000000002,8.558889235169292e-10,-5.6571972610081465e-08,-5.699999999936785e-08
0.030000000000000002,9.020439663319145e-10,-5.75488951017542e-08,-5.799999999935575e-08
0.0305,9.485068740139317e-10,-5.8525663660902505e-08,-5.899999999934365e-08
0.031,9.95275511152692e-10,-5.9502279355363824e-08,-5.999999999946235e-08
0.0315,1.0423477855893236e-09,-6.047874323128905e-08,-6.099999999978112e-08
0.032,1.0897216472949475e-09,-6.145505631349336e-08,-6.20000000000999e-08
0.0325,1.1373950867493087e-09,-6.243121960674078e-08,-6.300000000041867e-08
0.033,1.1853661334707272e-09,-6.340723409626964e-08,-6.400000000073744e-08
0.0335,1.233632854726952e-09,-6.438310074845163e-08,-6.500000000105621e-08
0.034,1.2821933542403244e-09,-6.535882051142542e-08,-6.600000000137498e-08
0.0345,1.3310457709808845e-09,-6.633439431570819e-08,-6.700000000169375e-08
0.035,1.3801882779989409e-09,-6.730982307477516e-08,-6.800000000201252e-08
0.035500000000000004,1.4296190813185992e-09,-6.828510768561436e-08,-6.90000000023313e-08
0.036000000000000004,1.4793364188898603e-09,-6.926024902925786e-08,-7.000000000265007e-08
0.0365,1.5293385595524585e-09,-7.023524797128118e-08,-7.100000000296884e-08
0.037,1.579623802097803e-09,-7.12101053622918e-08,-7.200000000328761e-08
0.0375,1.6301904743333016e-09,-7.218482203838721e-08,-7.300000000360638e-08
0.038,1.6810369322033463e-09,-7.31593988215964e-08,-7.400000000392515e-08
0.0385,1.7321615589460334e-09,-7.413383652030132e-08,-7.500000000424392e-08
0.039,1.7835627642872156e-09,-7.510813592964044e-08,-7.60000000045627e-08
0.0395,1.835238983667013e-09,-7.608229783189452e-08,-7.700000000488147e-08
0.04,1.887188677501256e-09,-7.705632299685667e-08,-7.800000000520024e-08
0.0405,1.9394103304733736e-09,-7.803021218218654e-08,-7.900000000551901e-08
0.041,1.9919024508535016e-09,-7.900396613374953e-08,-8.000000000583778e-08
0.0415,2.0446635698507793e-09,-7.997758558594299e-08,-8.100000000615655e-08
0.042,2.097692240983247e-09,-8.095107126200753e-08,-8.200000000647532e-08
0.0425,2.1509870394828937e-09,-8.192442387432756e-08,-8.300000000679409e-08
0.043000000000000003,2.204546561724214e-09,-8.289764412472015e-08,-8.400000000711286e-08
0.043500000000000004,2.258369424655189e-09,-8.387073270470814e-08,-8.500000000743164e-08
0.044000000000000004,2.312454265285389e-09,-8.484369029578993e-08,-8.600000000775041e-08
0.0445,2.3667997401613803e-09,-8.581651756969229e-08,-8.700000000806918e-08
0.045,2.4214045248806206e-09,-8.678921518861707e-08,-8.800000000838795e-08
0.0455,2.4762673136192295e-09,-8.776178380547801e-08,-8.900000000870672e-08
0.046,2.5313868186711957e-09,-8.873422406412749e-08,-9.000000000902549e-08
0.0465,2.5867617700166976e-09,-8.970653659957712e-08,-9.100000000934426e-08
0.047,2.6423909148928893e-09,-9.067872203820795e-08,-9.200000000966303e-08
0.0475,2.698273017393492e-09,-9.165078099797558e-08,-9.30000000099818e-08
0.048,2.7544068580670914e-09,-9.262271408860526e-08,-9.400000001030058e-08
0.0485,2.810791233544469e-09,-9.359452191178259e-08,-9.500000001061935e-08
0.049,2.867424956169491e-09,-9.456620506133608e-08,-9.600000001093812e-08
0.0495,2.9243068536459942e-09,-9.553776412341406e-08,-9.700000001125689e-08
0.05,2.9814357686980897e-09,-9.650919967665586e-08,-9.800000001157566e-08
0.0505,3.0388105587372705e-09,-9.748051229235639e-08,-9.900000001189443e-08
0.051000000000000004,3.09643009554212e-09,-9.845170253462568e-08,-1.000000000122132e-07
0.051500000000000004,3.154293264958082e-09,-9.942277096054446e-08,-1.0100000001253198e-07
0.052000000000000005,3.2123989665814672e-09,-1.0039371812031101e-07,-1.0200000001285075e-07
0.0525,3.2707461134905226e-09,-1.0136454455738902e-07,-1.0300000001316952e-07
0.053,3.3293336319560302e-09,-1.0233525080864617e-07,-1.0400000001348829e-07
0.0535,3.3881604611601514e-09,-1.0330583740448828e-07,-1.0500000001380706e-07
0.054,3.447225552947842e-09,-1.0427630486899294e-07,-1.0600000001412583e-07
0.0545,3.5065278715714497e-09,-1.0524665372003747e-07,-1.070000000144446e-07
0.055,3.566066393431736e-09,-1.0621688446942016e-07,-1.0800000001476337e-07
0.0555,3.6258401068477535e-09,-1.0718699762298207e-07,-1.0900000001508215e-07
0.056,3.685848011822633e-09,-1.0815699368072332e-07,-1.1000000001540092e-07
0.0565,3.746089119812238e-09,-1.0912687313691505e-07,-1.1100000001571969e-07
0.057,3.806562453511693e-09,-1.1009663648021047e-07,-1.1200000001603846e-07
0.0575,3.867267046640998e-09,-1.1106628419375122e-07,-1.1300000001635723e-07
0.058,3.928201943730826e-09,-1.1203581675527008e-07,-1.14000000016676e-07
0.0585,3.9893661999330805e-09,-1.1300523463719343e-07,-1.1500000001699477e-07
0.059000000000000004,4.050758880816189e-09,-1.1397453830673807e-07,-1.1600000001731355e-07
0.059500000000000004,4.112379062172821e-09,-1.1494372822600612e-07,-1.1700000001763232e-07
0.060000000000000005,4.1742258298423735e-09,-1.1591280485207924e-07,-1.1800000001795109e-07
0.0605,4.236298279525608e-09,-1.1688176863710808e-07,-1.1900000001826986e-07
0.061,4.298595516243123e-09,-1.1785062002805774e-07,-1.2000000001806538e-07
0.0615,4.361116655530311e-09,-1.1881935946754725e-07,-1.210000000177224e-07
0.062,4.423860821409418e-09,-1.1978798739370392e-07,-1.2200000001737943e-07
0.0625,4.486827147275474e-09,-1.207565042398308e-07,-1.2300000001703646e-07
0.063,4.550014775583929e-09,-1.2172491043469845e-07,-1.2400000001669348e-07
0.0635,4.613422857678242e-09,-1.226932064026416e-07,-1.250000000163505e-07
0.064,4.6770505536038355e-09,-1.2366139256363029e-07,-1.2600000001600754e-07
0.0645,4.740897032001108e-09,-1.2462946933335009e-07,-1.2700000001566456e-07
0.065,4.804961469929006e-09,-1.2559743712326845e-07,-1.280000000153216e-07
