time,force,tip,base,indentation,R,A,k,Q,f,approach_vel,Ee,E_arms,T_arms
0.0,0.0,4e-09,4e-09,0.0,5e-08,5.8999999999999995e-21,2,50,75000.0,2e-06,[100000.0],"[10000000.0, 10000.0]","[5e-05, 0.01]"
5e-06,-3.0921365576990044e-12,3.987549158792096e-09,3.990000000000121e-09,-0.0,,,,,,,,,
1e-05,-3.1062105861304642e-12,3.9785052461097116e-09,3.980000000000242e-09,-0.0,,,,,,,,,
1.5e-05,-3.120294284466241e-12,3.9695164405678455e-09,3.970000000000363e-09,-0.0,,,,,,,,,
2e-05,-3.139803932893125e-12,3.957164626670317e-09,3.960000000000484e-09,-0.0,,,,,,,,,
2.5e-05,-3.1521198453825336e-12,3.9494263752566545e-09,3.950000000000605e-09,-0.0,,,,,,,,,
3e-05,-3.1695859378855862e-12,3.938529630224867e-09,3.940000000000726e-09,-0.0,,,,,,,,,
3.5000000000000004e-05,-3.1873070947453885e-12,3.9275654237772654e-09,3.930000000000847e-09,-0.0,,,,,,,,,
4e-05,-3.2000439580527406e-12,3.9197413530255686e-09,3.920000000000968e-09,-0.0,,,,,,,,,
4.5e-05,-3.2199200388173e-12,3.907624639324277e-09,3.910000000001089e-09,-0.0,,,,,,,,,
5e-05,-3.235117541857097e-12,3.898435476190205e-09,3.90000000000121e-09,-0.0,,,,,,,,,
5.5e-05,-3.2502923868053234e-12,3.8893243936548226e-09,3.890000000001331e-09,-0.0,,,,,,,,,
6e-05,-3.2705158478903676e-12,3.877280793398431e-09,3.880000000001452e-09,-0.0,,,,,,,,,
6.500000000000001e-05,-3.2841384855290912e-12,3.86923093822145e-09,3.870000000001573e-09,-0.0,,,,,,,,,
7.000000000000001e-05,-3.302486200222808e-12,3.858467770971903e-09,3.860000000001694e-09,-0.0,,,,,,,,,
7.500000000000001e-05,-3.3211393214166646e-12,3.847617005195199e-09,3.850000000001815e-09,-0.0,,,,,,,,,
8e-05,-3.3351880117301147e-12,3.839504865465315e-09,3.840000000001936e-09,-0.0,,,,,,,,,
8.5e-05,-3.3558321129628466e-12,3.827676889308243e-09,3.8300000000020574e-09,-0.0,,,,,,,,,
9e-05,-3.3722233940946416e-12,3.818363011368836e-09,3.8200000000021784e-09,-0.0,,,,,,,,,
9.5e-05,-3.388564938737882e-12,3.809144749052017e-09,3.8100000000022994e-09,-0.0,,,,,,,,,
0.0001,-3.4096145870242555e-12,3.797368448451128e-09,3.8000000000024204e-09,-0.0,,,,,,,,,
