time,force,tip,base
0.0,0.0,1e-11,1e-11
0.00025,1.222481488139947e-11,-2.338220618560508e-10,-2.4000000000005935e-10
0.0005,1.965839759906958e-11,-4.801307605428496e-10,-4.89999999999619e-10
0.00075,2.556917785354599e-11,-7.271713467722919e-10,-7.399999999991787e-10
0.001,3.088714487055546e-11,-9.745139428834376e-10,-9.899999999993452e-10
0.00125,3.589672506124045e-11,-1.2220097444840122e-09,-1.2400000000014898e-09
0.0015,4.072935333942238e-11,-1.4695932551739528e-09,-1.4900000000036344e-09
0.00175,4.545745857955375e-11,-1.717229217422858e-09,-1.740000000005779e-09
0.002,5.0124672240470574e-11,-1.96489561412704e-09,-1.99000000000529e-09
0.0022500000000000003,5.475944327449782e-11,-2.212578229471012e-09,-2.240000000002265e-09
0.0025,5.938119582922649e-11,-2.4602673529357192e-09,-2.4899999999992397e-09
0.0027500000000000003,6.400367916490522e-11,-2.7079561122124398e-09,-2.7399999999962145e-09
0.003,6.863689277743101e-11,-2.955639506906267e-09,-2.9899999999931892e-09
0.0032500000000000003,7.328826499856407e-11,-3.2033138227931865e-09,-3.239999999990164e-09
0.0035,7.796340448879441e-11,-3.450976255413737e-09,-3.4899999999871387e-09
0.0037500000000000003,8.26665992800883e-11,-3.698624660667187e-09,-3.739999999984114e-09
0.004,8.740115839168155e-11,-3.94625738398084e-09,-3.989999999981089e-09
0.00425,9.216965198771306e-11,-4.193873140224105e-09,-4.2399999999780634e-09
0.0045000000000000005,9.697408406256663e-11,-4.4414709273622895e-09,-4.489999999975038e-09
0.00475,1.0181601905674827e-10,-4.6890499631450795e-09,-4.739999999972013e-09
0.005,1.0669667629077908e-10,-4.9366096378894566e-09,-4.989999999968988e-09
0.00525,1.1161700145471051e-10,-5.18414947873117e-09,-5.2399999999659624e-09
0.0055000000000000005,1.165777214542774e-10,-5.431669122202584e-09,-5.489999999962937e-09
0.00575,1.21579386982514e-10,-5.679168292944744e-09,-5.739999999959912e-09
0.006,1.2662240591660523e-10,-5.926646787009198e-09,-5.989999999956887e-09
0.00625,1.3170706976372796e-10,-6.174104458634083e-09,-6.2399999999538615e-09
0.006500000000000001,1.368335747827505e-10,-6.421541209683357e-09,-6.489999999950836e-09
0.00675,1.4200203898246392e-10,-6.668956981147096e-09,-6.739999999947811e-09
0.007,1.4721251589717794e-10,-6.916351746253549e-09,-6.989999999944786e-09
0.00725,1.5246500582075706e-10,-7.163725504852012e-09,-7.2399999999417605e-09
0.007500000000000001,1.57759465020149e-10,-7.411078278805913e-09,-7.489999999938735e-09
0.00775,1.6309581333083238e-10,-7.658410108194923e-09,-7.73999999993571e-09
0.008,1.684739404476806e-10,-7.90572104816948e-09,-7.989999999932685e-09
0.00825,1.7389371115712025e-10,-8.153011166334575e-09,-8.23999999992966e-09
0.0085,1.7935496970551612e-10,-8.400280540565646e-09,-8.489999999926634e-09
0.00875,1.8485754345820916e-10,-8.647529257178682e-09,-8.739999999923609e-09
0.009000000000000001,1.904012459747501e-10,-8.894757409393172e-09,-8.989999999920584e-09
0.00925,1.9598587959864598e-10,-9.141965096036467e-09,-9.239999999917559e-09
0.0095,2.0161123764502414e-10,-9.38915242045028e-09,-9.489999999914533e-09
0.00975,2.0727710625145324e-10,-9.636319489565352e-09,-9.739999999911508e-09
0.01,2.1298326594670135e-10,-9.883466413117402e-09,-9.989999999908483e-09
0.01025,2.1872949298026248e-10,-1.0130593302980867e-08,-1.0239999999905458e-08
0.0105,2.2451556045440892e-10,-1.037770027260459e-08,-1.0489999999902432e-08
0.010750000000000001,2.3034123928410594e-10,-1.062478743653097e-08,-1.0739999999899407e-08
0.011000000000000001,2.36206299013807e-10,-1.0871854909987716e-08,-1.0989999999896382e-08
0.01125,2.421105085115239e-10,-1.1118902808540786e-08,-1.1239999999893357e-08
0.0115,2.480536365583894e-10,-1.1365931247799755e-08,-1.1489999999890331e-08
0.01175,2.540354523484587e-10,-1.161294034316757e-08,-1.1739999999887306e-08
0.012,2.6005572591255264e-10,-1.1859930209628977e-08,-1.1989999999884281e-08
0.01225,2.6611422847570744e-10,-1.2106900961571408e-08,-1.2239999999881256e-08
0.0125,2.722107327592633e-10,-1.2353852712634615e-08,-1.248999999987823e-08
0.012750000000000001,2.783450132327575e-10,-1.260078557558378e-08,-1.2739999999875205e-08
0.013000000000000001,2.84516846325807e-10,-1.284769966220442e-08,-1.298999999987218e-08
0.01325,2.9072601060244613e-10,-1.3094595083214617e-08,-1.3239999999869155e-08
0.0135,2.969722869052918e-10,-1.3341471948193266e-08,-1.348999999986613e-08
0.01375,3.0325545847250174e-10,-1.3588330365521588e-08,-1.3739999999863104e-08
0.014,3.095753110313009e-10,-1.3835170442336134e-08,-1.3989999999860079e-08
0.01425,3.1593163287179473e-10,-1.4081992284491999e-08,-1.4239999999857054e-08
0.0145,3.223242149035147e-10,-1.4328795996534704e-08,-1.4489999999854028e-08
0.014750000000000001,3.2875285069674545e-10,-1.4575581681679415e-08,-1.4739999999851003e-08
0.015000000000000001,3.3521733651079816e-10,-1.4822349441796584e-08,-1.4989999999847978e-08
0.01525,3.417174713118351e-10,-1.506909937740345e-08,-1.5239999999844953e-08
0.0155,3.4825305678029226e-10,-1.531583158765991e-08,-1.5489999999841928e-08
0.01575,3.548238973110168e-10,-1.556254617036904e-08,-1.5739999999838902e-08
0.016,3.614298000046081e-10,-1.580924322198027e-08,-1.5989999999835877e-08
0.01625,3.6807057465573956e-10,-1.6055922837597003e-08,-1.6239999999832852e-08
0.0165,3.747460337325769e-10,-1.6302585110985103e-08,-1.6489999999829827e-08
0.01675,3.8145599235490924e-10,-1.654923013458496e-08,-1.67399999998268e-08
0.017,3.8820026826702625e-10,-1.6795857999524733e-08,-1.6989999999823776e-08
0.01725,3.9497868180761797e-10,-1.704246879563518e-08,-1.723999999982075e-08
0.0175,4.0179105587765524e-10,-1.7289062611466057e-08,-1.7489999999817726e-08
0.017750000000000002,4.0863721590560767e-10,-1.7535639534303354e-08,-1.77399999998147e-08
0.018000000000000002,4.1551698981112805e-10,-1.7782199650187484e-08,-1.7989999999811675e-08
0.01825,4.2243020796717166e-10,-1.802874304393212e-08,-1.823999999980865e-08
0.0185,4.293767031613606e-10,-1.8275269799143745e-08,-1.8489999999805625e-08
0.01875,4.3635631055578434e-10,-1.8521779998241263e-08,-1.87399999998026e-08
0.019,4.4336886764767264e-10,-1.87682737224766e-08,-1.8989999999799574e-08
0.01925,4.5041421422741854e-10,-1.9014751051954538e-08,-1.923999999979655e-08
0.0195,4.5749219233842297e-10,-1.926121206565354e-08,-1.9489999999793524e-08
0.01975,4.646026462360314e-10,-1.950765684144628e-08,-1.97399999997905e-08
0.02,4.717454223460099e-10,-1.9754085456119956e-08,-1.9989999999787473e-08
0.02025,4.789203692241433e-10,-2.0000497985396898e-08,-2.0239999999784448e-08
0.0205,4.861273375152363e-10,-2.024689450395476e-08,-2.0489999999781423e-08
0.02075,4.93366179913326e-10,-2.0493275085446846e-08,-2.0739999999778397e-08
0.021,5.006367511212015e-10,-2.073963980252182e-08,-2.0989999999775372e-08
0.02125,5.079389078114308e-10,-2.0985988726843624e-08,-2.1239999999772347e-08
0.021500000000000002,5.15272508587185e-10,-2.1232321929110825e-08,-2.1489999999769322e-08
0.021750000000000002,5.226374139438807e-10,-2.147863947907581e-08,-2.1739999999766296e-08
0.022000000000000002,5.300334862316141e-10,-2.1724941445563777e-08,-2.198999999976327e-08
0.02225,5.374605896177382e-10,-2.1971227896491176e-08,-2.2239999999760246e-08
0.0225,5.449185900503895e-10,-2.2217498898884022e-08,-2.248999999975722e-08
0.02275,5.524073552228843e-10,-2.2463754518895937e-08,-2.2739999999754195e-08
0.023,5.599267545378864e-10,-2.2709994821825493e-08,-2.298999999975117e-08
0.02325,5.674766590739329e-10,-2.2956219872133843e-08,-2.3239999999748145e-08
0.0235,5.750569415503536e-10,-2.32024297334612e-08,-2.348999999974512e-08
